"","Q-39","Q-38","Q-37","Q-36","Q-35","Q-34","Q-33","Q-32","Q-31","Q-30","Q-29","Q-28","Q-27","Q-26","Q-25","Q-24","Q-23","Q-22","Q-21","Q-20","Q-19","Q-18","Q-17","Q-16","Q-15","Q-14","Q-13","Q-12","Q-11","Q-10","Q-9","Q-8","Q-7","Q-6","Q-5","Q-4","Q-3","Q-2","Q-1","Q"
"Additional Paid In Capital",11684,12585,10094,9961,10167,10399,12297,12921,13759,15949,30225,31337,32479,33574,34886,36129,37405,38756,38227,38639,39291,40199,40584,41134,41832,42352,42906,43533,44277,45059,45851,46688,47805,48910,50018,51160,52845,54334,55811,57512
"Retained Earnings",1654,1595,1659,1878,2211,2636,3159,3801,4592,5398,6099,6611,7330,8226,9787,11297,13352,15731,21670,24175,27560,31209,33990,36780,38237,38767,41981,43764,44968,49789,55692,59160,62784,68513,77345,82343,85097,79233,69761,67712
"Treasury Stock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Common Equity Adj",-29,-6,2,-15,-29,13,14,15,-5,-109,-228,-447,-357,-380,-455,-276,-374,-372,-703,-626,-370,-200,-227,-294,-687,-777,-760,-781,-483,-849,-489,-544,-142,308,927,154,285,-207,-693,-1996
"Common Equity",13309,14174,11755,11824,12349,13048,15470,16737,18346,21238,36096,37501,39452,41420,44218,47150,50383,54115,59194,62188,66481,71208,74347,77620,79382,80342,84127,86516,88762,93999,101054,105304,110447,117731,128290,133657,138227,133360,124879,123228
"Total Preferred Equity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minority Interest, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Equity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total Equity",13309,14174,11755,11824,12349,13048,15470,16737,18346,21238,36096,37501,39452,41420,44218,47150,50383,54115,59194,62188,66481,71208,74347,77620,79382,80342,84127,86516,88762,93999,101054,105304,110447,117731,128290,133657,138227,133360,124879,123228
"Total Liabilities And Equity",14928,16038,15103,15163,15724,14933,17895,19028,20769,24188,39966,42007,44130,46469,49407,52075,55739,59674,64961,68714,73843,78998,84524,88945,90291,92452,97334,109477,117006,124418,133376,138371,139691,146437,159316,163523,170609,169585,165987,164218
"Cash And Short Term Investments",10188,10452,9626,9472,10252,9328,11449,12629,13956,14250,11199,12413,14125,15834,18434,20621,23293,26140,29449,32306,35452,38289,41711,43956,42309,41206,41114,45243,48596,52269,54855,60289,58240,55620,61954,64219,64080,58075,47998,43890
"Total Debt",706,902,2360,2261,2167,575,476,392,326,278,233,384,347,324,315,0,0,0,0,0,0,0,0,98,121,70,500,7550,8204,9563,10324,10814,11004,11144,10654,12141,12563,13219,14454,14658
